id,cluster
001_Katy Perry - Roar_clip0,2
001_Katy Perry - Roar_clip1,2
001_Katy Perry - Roar_clip2,2
001_Katy Perry - Roar_clip3,2
001_Katy Perry - Roar_clip4,2
001_Katy Perry - Roar_clip5,2
001_Katy Perry - Roar_clip6,2
001_Katy Perry - Roar_clip7,5
002_OneRepublic - Counting Stars_clip0,7
002_OneRepublic - Counting Stars_clip1,1
002_OneRepublic - Counting Stars_clip2,4
002_OneRepublic - Counting Stars_clip3,1
002_OneRepublic - Counting Stars_clip4,4
002_OneRepublic - Counting Stars_clip5,1
002_OneRepublic - Counting Stars_clip6,3
002_OneRepublic - Counting Stars_clip7,1
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip0,2
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip1,8
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip2,8
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip3,8
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip4,8
004_Taylor Swift - Blank Space_clip0,2
004_Taylor Swift - Blank Space_clip1,2
004_Taylor Swift - Blank Space_clip2,2
004_Taylor Swift - Blank Space_clip3,2
004_Taylor Swift - Blank Space_clip4,2
004_Taylor Swift - Blank Space_clip5,2
004_Taylor Swift - Blank Space_clip6,2
004_Taylor Swift - Blank Space_clip7,5
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip0,3
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip1,1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip2,1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip3,1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip4,1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip5,3
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip6,5
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip0,3
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip1,8
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip2,8
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip3,8
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip4,8
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip5,8
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip6,8
007_Shawn Mendes - Treat You Better_clip0,8
007_Shawn Mendes - Treat You Better_clip1,3
007_Shawn Mendes - Treat You Better_clip2,8
007_Shawn Mendes - Treat You Better_clip3,4
007_Shawn Mendes - Treat You Better_clip4,4
007_Shawn Mendes - Treat You Better_clip5,8
007_Shawn Mendes - Treat You Better_clip6,7
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip0,3
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip1,0
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip2,0
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip3,0
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip4,1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip5,0
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip6,1
009_Imagine Dragons - Believer (Official Music Video)_clip0,3
009_Imagine Dragons - Believer (Official Music Video)_clip1,4
009_Imagine Dragons - Believer (Official Music Video)_clip2,5
009_Imagine Dragons - Believer (Official Music Video)_clip3,4
009_Imagine Dragons - Believer (Official Music Video)_clip4,5
009_Imagine Dragons - Believer (Official Music Video)_clip5,7
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip0,3
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip1,8
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip2,3
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip3,8
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip4,5
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip5,1
011_Rihanna - Diamonds_clip0,7
011_Rihanna - Diamonds_clip1,1
011_Rihanna - Diamonds_clip2,1
011_Rihanna - Diamonds_clip3,1
011_Rihanna - Diamonds_clip4,1
011_Rihanna - Diamonds_clip5,1
011_Rihanna - Diamonds_clip6,0
011_Rihanna - Diamonds_clip7,1
012_Imagine Dragons - Thunder_clip0,6
012_Imagine Dragons - Thunder_clip1,6
012_Imagine Dragons - Thunder_clip2,6
012_Imagine Dragons - Thunder_clip3,6
012_Imagine Dragons - Thunder_clip4,6
012_Imagine Dragons - Thunder_clip5,6
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip0,2
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip1,2
