id,cluster
001_Katy Perry - Roar_clip0,-1
001_Katy Perry - Roar_clip1,-1
001_Katy Perry - Roar_clip2,-1
001_Katy Perry - Roar_clip3,-1
001_Katy Perry - Roar_clip4,-1
001_Katy Perry - Roar_clip5,-1
001_Katy Perry - Roar_clip6,-1
001_Katy Perry - Roar_clip7,-1
002_OneRepublic - Counting Stars_clip0,-1
002_OneRepublic - Counting Stars_clip1,-1
002_OneRepublic - Counting Stars_clip2,-1
002_OneRepublic - Counting Stars_clip3,-1
002_OneRepublic - Counting Stars_clip4,-1
002_OneRepublic - Counting Stars_clip5,-1
002_OneRepublic - Counting Stars_clip6,-1
002_OneRepublic - Counting Stars_clip7,-1
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip0,-1
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip1,-1
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip2,-1
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip3,-1
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip4,-1
004_Taylor Swift - Blank Space_clip0,-1
004_Taylor Swift - Blank Space_clip1,-1
004_Taylor Swift - Blank Space_clip2,-1
004_Taylor Swift - Blank Space_clip3,-1
004_Taylor Swift - Blank Space_clip4,-1
004_Taylor Swift - Blank Space_clip5,-1
004_Taylor Swift - Blank Space_clip6,-1
004_Taylor Swift - Blank Space_clip7,-1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip0,-1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip1,-1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip2,-1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip3,-1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip4,-1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip5,-1
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip6,-1
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip0,-1
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip1,-1
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip2,-1
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip3,-1
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip4,-1
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip5,-1
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip6,-1
007_Shawn Mendes - Treat You Better_clip0,-1
007_Shawn Mendes - Treat You Better_clip1,-1
007_Shawn Mendes - Treat You Better_clip2,-1
007_Shawn Mendes - Treat You Better_clip3,-1
007_Shawn Mendes - Treat You Better_clip4,-1
007_Shawn Mendes - Treat You Better_clip5,-1
007_Shawn Mendes - Treat You Better_clip6,-1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip0,-1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip1,-1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip2,-1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip3,-1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip4,-1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip5,-1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip6,-1
009_Imagine Dragons - Believer (Official Music Video)_clip0,-1
009_Imagine Dragons - Believer (Official Music Video)_clip1,-1
009_Imagine Dragons - Believer (Official Music Video)_clip2,-1
009_Imagine Dragons - Believer (Official Music Video)_clip3,-1
009_Imagine Dragons - Believer (Official Music Video)_clip4,-1
009_Imagine Dragons - Believer (Official Music Video)_clip5,-1
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip0,-1
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip1,-1
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip2,-1
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip3,-1
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip4,-1
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip5,-1
011_Rihanna - Diamonds_clip0,-1
011_Rihanna - Diamonds_clip1,-1
011_Rihanna - Diamonds_clip2,-1
011_Rihanna - Diamonds_clip3,-1
011_Rihanna - Diamonds_clip4,-1
011_Rihanna - Diamonds_clip5,-1
011_Rihanna - Diamonds_clip6,-1
011_Rihanna - Diamonds_clip7,-1
012_Imagine Dragons - Thunder_clip0,-1
012_Imagine Dragons - Thunder_clip1,-1
012_Imagine Dragons - Thunder_clip2,-1
012_Imagine Dragons - Thunder_clip3,-1
012_Imagine Dragons - Thunder_clip4,-1
012_Imagine Dragons - Thunder_clip5,-1
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip0,-1
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip1,-1
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip2,-1
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip3,-1
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip4,-1
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip5,-1
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip6,-1
014_Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video]_clip0,-1
014_Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video]_clip1,-1
014_Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video]_clip2,-1
014_Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video]_clip3,-1
014_Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video]_clip4,-1
014_Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video]_clip5,-1
014_Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video]_clip6,-1
015_Ellie Goulding - Burn (Official Video)_clip0,-1
015_Ellie Goulding - Burn (Official Video)_clip1,-1
015_Ellie Goulding - Burn (Official Video)_clip2,-1
015_Ellie Goulding - Burn (Official Video)_clip3,-1
015_Ellie Goulding - Burn (Official Video)_clip4,-1
015_Ellie Goulding - Burn (Official Video)_clip5,-1
015_Ellie Goulding - Burn (Official Video)_clip6,-1
016_Calvin Harris - Summer (Official Video)_clip0,-1
016_Calvin Harris - Summer (Official Video)_clip1,-1
016_Calvin Harris - Summer (Official Video)_clip2,-1
016_Calvin Harris - Summer (Official Video)_clip3,-1
016_Calvin Harris - Summer (Official Video)_clip4,-1
016_Calvin Harris - Summer (Official Video)_clip5,-1
016_Calvin Harris - Summer (Official Video)_clip6,-1
017_Taylor Swift - Bad Blood ft. Kendrick Lamar_clip0,-1
017_Taylor Swift - Bad Blood ft. Kendrick Lamar_clip1,-1
017_Taylor Swift - Bad Blood ft. Kendrick Lamar_clip2,-1
017_Taylor Swift - Bad Blood ft. Kendrick Lamar_clip3,-1
017_Taylor Swift - Bad Blood ft. Kendrick Lamar_clip4,-1
017_Taylor Swift - Bad Blood ft. Kendrick Lamar_clip5,-1
017_Taylor Swift - Bad Blood ft. Kendrick Lamar_clip6,-1
018_Carly Rae Jepsen - Call Me Maybe_clip0,-1
018_Carly Rae Jepsen - Call Me Maybe_clip1,-1
018_Carly Rae Jepsen - Call Me Maybe_clip2,-1
018_Carly Rae Jepsen - Call Me Maybe_clip3,-1
018_Carly Rae Jepsen - Call Me Maybe_clip4,-1
019_Sam Smith - I'm Not The Only One (Official Music Video)_clip0,-1
019_Sam Smith - I'm Not The Only One (Official Music Video)_clip1,-1
019_Sam Smith - I'm Not The Only One (Official Music Video)_clip2,-1
019_Sam Smith - I'm Not The Only One (Official Music Video)_clip3,-1
019_Sam Smith - I'm Not The Only One (Official Music Video)_clip4,-1
019_Sam Smith - I'm Not The Only One (Official Music Video)_clip5,-1
019_Sam Smith - I'm Not The Only One (Official Music Video)_clip6,-1
019_Sam Smith - I'm Not The Only One (Official Music Video)_clip7,-1
020_Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ＂TROLLS＂) (Official Video)_clip0,-1
020_Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ＂TROLLS＂) (Official Video)_clip1,-1
020_Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ＂TROLLS＂) (Official Video)_clip2,-1
020_Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ＂TROLLS＂) (Official Video)_clip3,-1
020_Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ＂TROLLS＂) (Official Video)_clip4,-1
020_Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ＂TROLLS＂) (Official Video)_clip5,-1
020_Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ＂TROLLS＂) (Official Video)_clip6,-1
020_Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ＂TROLLS＂) (Official Video)_clip7,-1
021_Sam Smith - Too Good At Goodbyes_clip0,-1
021_Sam Smith - Too Good At Goodbyes_clip1,-1
021_Sam Smith - Too Good At Goodbyes_clip2,-1
021_Sam Smith - Too Good At Goodbyes_clip3,-1
021_Sam Smith - Too Good At Goodbyes_clip4,-1
021_Sam Smith - Too Good At Goodbyes_clip5,-1
021_Sam Smith - Too Good At Goodbyes_clip6,-1
021_Sam Smith - Too Good At Goodbyes_clip7,-1
022_One Direction - What Makes You Beautiful (Official Video)_clip0,-1
022_One Direction - What Makes You Beautiful (Official Video)_clip1,-1
022_One Direction - What Makes You Beautiful (Official Video)_clip2,-1
022_One Direction - What Makes You Beautiful (Official Video)_clip3,-1
022_One Direction - What Makes You Beautiful (Official Video)_clip4,-1
022_One Direction - What Makes You Beautiful (Official Video)_clip5,-1
023_Charlie Puth - Attention [Official Video]_clip0,-1
023_Charlie Puth - Attention [Official Video]_clip1,-1
023_Charlie Puth - Attention [Official Video]_clip2,-1
023_Charlie Puth - Attention [Official Video]_clip3,-1
023_Charlie Puth - Attention [Official Video]_clip4,-1
023_Charlie Puth - Attention [Official Video]_clip5,-1
023_Charlie Puth - Attention [Official Video]_clip6,-1
024_James Arthur - Say You Won't Let Go_clip0,-1
024_James Arthur - Say You Won't Let Go_clip1,-1
024_James Arthur - Say You Won't Let Go_clip2,-1
024_James Arthur - Say You Won't Let Go_clip3,-1
024_James Arthur - Say You Won't Let Go_clip4,-1
024_James Arthur - Say You Won't Let Go_clip5,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip0,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip1,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip2,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip3,-1
