id,cluster
001_Katy Perry - Roar_clip0,4
001_Katy Perry - Roar_clip1,4
001_Katy Perry - Roar_clip2,4
001_Katy Perry - Roar_clip3,4
001_Katy Perry - Roar_clip4,4
001_Katy Perry - Roar_clip5,4
001_Katy Perry - Roar_clip6,4
001_Katy Perry - Roar_clip7,4
002_OneRepublic - Counting Stars_clip0,3
002_OneRepublic - Counting Stars_clip1,2
002_OneRepublic - Counting Stars_clip2,2
002_OneRepublic - Counting Stars_clip3,2
002_OneRepublic - Counting Stars_clip4,2
002_OneRepublic - Counting Stars_clip5,2
002_OneRepublic - Counting Stars_clip6,3
002_OneRepublic - Counting Stars_clip7,2
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip0,3
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip1,4
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip2,4
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip3,4
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip4,4
004_Taylor Swift - Blank Space_clip0,3
004_Taylor Swift - Blank Space_clip1,4
004_Taylor Swift - Blank Space_clip2,4
004_Taylor Swift - Blank Space_clip3,3
004_Taylor Swift - Blank Space_clip4,4
004_Taylor Swift - Blank Space_clip5,4
004_Taylor Swift - Blank Space_clip6,4
004_Taylor Swift - Blank Space_clip7,4
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip0,3
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip1,2
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip2,2
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip3,2
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip4,2
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip5,3
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip6,2
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip0,3
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip1,4
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip2,4
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip3,4
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip4,4
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip5,4
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip6,4
007_Shawn Mendes - Treat You Better_clip0,1
007_Shawn Mendes - Treat You Better_clip1,3
007_Shawn Mendes - Treat You Better_clip2,4
007_Shawn Mendes - Treat You Better_clip3,4
007_Shawn Mendes - Treat You Better_clip4,4
007_Shawn Mendes - Treat You Better_clip5,3
007_Shawn Mendes - Treat You Better_clip6,1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip0,3
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip1,0
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip2,0
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip3,0
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip4,0
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip5,0
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip6,0
009_Imagine Dragons - Believer (Official Music Video)_clip0,3
009_Imagine Dragons - Believer (Official Music Video)_clip1,1
009_Imagine Dragons - Believer (Official Music Video)_clip2,4
009_Imagine Dragons - Believer (Official Music Video)_clip3,3
009_Imagine Dragons - Believer (Official Music Video)_clip4,2
009_Imagine Dragons - Believer (Official Music Video)_clip5,1
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip0,3
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip1,4
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip2,3
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip3,2
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip4,2
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip5,2
011_Rihanna - Diamonds_clip0,3
011_Rihanna - Diamonds_clip1,2
011_Rihanna - Diamonds_clip2,2
011_Rihanna - Diamonds_clip3,2
011_Rihanna - Diamonds_clip4,2
011_Rihanna - Diamonds_clip5,2
011_Rihanna - Diamonds_clip6,2
011_Rihanna - Diamonds_clip7,2
012_Imagine Dragons - Thunder_clip0,4
012_Imagine Dragons - Thunder_clip1,0
012_Imagine Dragons - Thunder_clip2,1
012_Imagine Dragons - Thunder_clip3,0
012_Imagine Dragons - Thunder_clip4,0
012_Imagine Dragons - Thunder_clip5,0
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip0,3
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip1,4
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip2,4
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip3,3
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip4,4
